CaseID,case_outcome,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,used_probe,sample_kinds,final_design_kinds,fallback_statuses,native_failure_reasons,target_T_K,target_conversion,target_tau_s,target_log10_tau_s
67,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1485.6559127895162,0.2748210876062512,0.0026100095327007,-2.583357906457983
68,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1525.5295232543722,0.0808682528045028,0.0002824055693272,-3.5491267428035878
69,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1462.2384491143748,0.5643467501411215,0.073641939988186,-1.1328747791703793
70,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1416.3999349158255,0.0962259676074609,0.0036020829821602,-2.4434462864417625
71,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1496.7026092670858,0.4072075393423438,2.4657045349811195e-05,-4.6080589660676194
72,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,1542.9148529982194,0.225995108471252,0.0834724108783908,-1.0784570428775624
73,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1566.8371076183394,0.720725237345323,0.0001075356130379,-3.9684476847297776
74,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1459.8790104687214,0.7411800882592797,0.0012118440706677,-2.9165532577317403
76,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0025,1580.9780169278383,0.2421534832427278,0.0763411134086357,-1.1172415103064854
77,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1506.438314737752,0.4031281243171543,0.0003540051443927,-3.4509904267732834
78,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1521.8483334546909,0.9348817713186144,2.2801896878637612e-05,-4.642029022751376
79,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1440.902382438071,0.5183532950794324,0.0015608305175474,-2.806644252152193
80,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,T exceeded cap 1600.0 K,1439.830315564759,0.734664735221304,0.0001980540625748,-3.703216244722843
81,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,1469.4160218304023,0.3174387397151441,0.4271457038251934,-0.3694239573553204
82,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1406.7724093515426,0.9445731922984124,0.0152810947804079,-1.8158455305732804
83,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1532.7643667906525,0.4548502606293186,0.0001255166936759,-3.9012985093288965
84,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1428.4650208521634,0.2895513143623248,1.0873338219955409e-05,-4.963637102837675
85,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1409.5008793473244,0.9610698203276844,0.047469436469928,-1.323585923947394
86,PFR missed → no probe/unknown,True,False,False,False,False,False,trajectory,isothermal_pfr_hit_target,,,1419.3134557502344,0.227003068998456,9.704817706200424e-05,-4.013012617919594
87,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1543.943065754138,0.971024649529718,0.0007003148276168,-3.154706678330027
89,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1513.965984461829,0.5060237278277054,0.0050476147376654,-2.2969138002954472
90,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1462.5738392351195,0.7833814261993394,4.47913561543723e-05,-4.34880578815937
91,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1477.314422042109,0.0661512033641338,0.0116343957683827,-1.9342561668483562
92,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,T exceeded cap 1600.0 K,1483.9150612382218,0.9781971558462828,0.000666373427837,-3.1762823290890334
93,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1403.6995477834716,0.1222255382919684,1.63593588858303e-05,-4.78623372009024
94,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1574.7633981518447,0.2882845290889964,0.0004516584133241,-3.345189895480935
96,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1538.746816990897,0.7799195122672246,3.6667609247766765e-05,-4.435717405402102
97,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1524.0014690719545,0.8739424604736269,0.0250810561171047,-1.6006541801150895
98,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1552.876504571177,0.4866662852931768,0.0287203794850556,-1.541809826018289
99,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1584.537408160977,0.9081861698301508,0.0002371356793442,-3.6250030973228076
100,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1476.733253733255,0.8974561575753615,0.000185557754378,-3.7315208919581084
102,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,1514.7690894734114,0.1317476094979793,0.2894529354015643,-0.538422041805461
103,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1544.9797546677291,0.2645229818345979,6.639409311089946e-05,-4.177870556828566
104,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1594.5484168594703,0.9910038994811476,0.0022426255147687,-2.6492432411061655
105,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1468.5516969906166,0.512527796770446,1.5339839678734516e-05,-4.814179179305211
106,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1408.6780118197205,0.6754680005880073,0.0002372095994355,-3.624867739854527
107,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1479.0875407774,0.9194950044620782,0.034829046803299,-1.458058411092498
108,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1482.1830227971077,0.0361126479320228,0.0218832199517751,-1.6598887744592514
109,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1407.5485648680478,0.0188810466928407,0.0005387863821728,-3.268583389604486
110,PFR missed → no probe/unknown,True,False,False,False,False,False,trajectory,isothermal_pfr_hit_target,,,1570.2189592039213,0.3430321532906965,4.7614642113239657e-05,-4.322259475616738
111,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1439.1782497661188,0.853303669365123,0.0061417360684269,-2.211708850623112
112,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1541.612103660591,0.7433424876816571,0.0030209169947681,-2.519861207599752
113,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1571.2898217653856,0.5043226810125634,0.0122677821961944,-1.9112339431419971
114,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1555.7637626398357,0.0837862364994362,0.0060245732761022,-2.220073708985003
115,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1431.8477292358875,0.3172633659932762,4.671107864527668e-05,-4.3305801039328795
116,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1529.4668708462268,0.0271790864504873,0.0087408151662886,-2.0584480632795046
117,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1460.4189599305391,0.4719037919817492,0.0071851806288071,-2.1435623096302208
118,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1567.5246885465458,0.0400782502489164,0.0358631278601148,-1.445351835433394
119,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,truncated at z=0.0013 < L=26.0764,1542.0705264573917,0.662299881214276,0.7725031019476135,-0.11209976801183069
120,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1597.4121628515422,0.1321514082280919,0.0008149733148668,-3.088856611377608
121,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1465.841252906248,0.1156243103928864,0.0001046581932343,-3.9802267669701985
122,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1561.5637213317675,0.8948716585431248,2.140242309849904e-05,-4.669537054747343
123,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,876.3990625599399,0.0558476674603298,2.9509198035053388e-05,-4.530042593064718
124,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,884.9154427228495,0.5384598598955199,4.402020016072961e-05,-4.356347987032495
125,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,854.618903757073,0.4606882498599589,1.1442920653857424e-05,-4.941463113483041
126,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,922.9733528755604,0.3787247783783823,2.302596138504769e-05,-4.637782227993012
127,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,1336.2705654185263,0.873456285824068,0.0278912057645216,-1.554532710346394
128,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1236.5009601321071,0.5924552565254272,0.0019513329843338,-2.709668614296258
129,PFR missed → state probe,True,True,False,False,False,True,"state_probe, trajectory","anchored_state_probe_after_pfr_miss, isothermal_pfr_missed_target",used_after_pfr_miss,,823.072556052357,0.2027268316922709,0.000151470576649,-3.8196717212211357
130,Native PFR failed → state probe,False,True,False,True,False,True,state_probe,anchored_state_probe_after_native_pfr_failure,used_after_native_pfr_failure,T exceeded cap 1600.0 K,1304.8712858790532,0.6353599415021017,0.0054187148407193,-2.266103703086267
131,PFR missed → no suitable anchor,True,False,False,False,True,False,trajectory,isothermal_pfr_missed_target,no_suitable_anchor_available,,1385.0366306258366,0.3181284528318793,2.1991736828975025e-05,-4.657740470254794
