source_group,source_file,T_K,conversion_proxy,tau_s,log10_tau_s,P_Pa,steam_to_ethane,sample_kind,iso_final_design_kind
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,846.3892235700041,2.2295580937026216e-09,9.129615123819684e-06,-5.039547530584489,244540.50231724975,0.1908798944205045,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1430.6902208039537,0.16823153800362234,8.779421170385417e-06,-5.05653411630281,275859.18698459864,0.97087199985981,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1322.0605510892349,0.0010234172982921397,1.1957080072812143e-06,-5.922374862411914,208740.73319137096,0.7942435434088111,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,977.774699293077,5.399455893506655e-08,1.7350464760778807e-05,-4.760688887424216,280710.18792688847,0.9361307099461555,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1312.95788760297,0.11418482743161307,5.8756759244186636e-05,-4.23094216593114,283246.6697320342,0.4185630567371845,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1590.8929596282542,0.30290539480207535,1.3824233251951657e-05,-4.859358947088786,170212.88387477398,0.0465668207034468,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1322.514064060524,0.0017464036688089601,1.0920459661469648e-06,-5.96175908102337,308519.96690034866,0.2441010847687721,trajectory,isothermal_pfr_hit_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,985.2457333775236,4.165725886462468e-08,1.0460155294734649e-05,-4.9804618677492725,275379.82165813446,0.3537956997752189,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,988.92862373963,3.146586713409505e-08,6.84952703942647e-06,-5.164339415552636,327663.9461517334,0.0585792865604162,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1111.94704931695,0.0169429703397872,0.0005709251672827507,-3.2434208121849206,191396.8626409769,0.2584112863987684,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1476.733253733255,0.15479463197802312,5.8903013126954435e-06,-5.22986248872836,341703.9908468724,0.0121280951425433,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1315.306043913588,0.05688094274921052,1.2939447667296925e-05,-4.8880842615471245,318763.52429389954,0.3982481509447098,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,843.938922076486,3.2741098721089656e-10,0.00029342918761542455,-3.532496688755001,190615.7501041889,0.821526070125401,trajectory,isothermal_pfr_missed_target
