CaseID,has_trajectory,has_state_probe,pfr_hit_target,native_pfr_failed,no_suitable_anchor,filled_target,unresolved_target,case_outcome,source_files,iso_T_K,iso_target_conversion,iso_manifest_target_tau_s,iso_manifest_tx_bin_i,iso_manifest_tx_bin_j,iso_manifest_ttau_bin_k
421,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1012.6338594034314,0.966074561965652,1.1838003784663612e-05,4.0,19.0,0.0
422,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,964.0707359137014,0.4458499730331823,1.0296144281342812e-05,3.0,8.0,0.0
423,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1395.691771148704,0.8561225242726506,0.00451202720794,11.0,17.0,10.0
424,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1393.8376073725522,0.927102026459761,1.3521386842782987e-05,11.0,18.0,0.0
425,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1219.2540041264149,0.3211232743132859,0.0035254731656238,8.0,6.0,10.0
426,True,True,True,True,False,True,False,pfr_hit_target,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1309.3955164356155,0.3894741471670568,0.0125645697338687,10.0,7.0,12.0
427,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,978.4056616807356,0.3609930072678253,1.529633195068821e-05,3.0,7.0,0.0
428,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,932.8677400900052,0.2946503487648443,2.6720876620467736e-05,2.0,5.0,1.0
429,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1306.8338984483853,0.8049270844180137,0.0193555325440707,10.0,16.0,13.0
430,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,869.5193077065051,0.434565767031163,0.0001246610715238,1.0,8.0,4.0
431,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1389.8917148914188,0.6173401256604121,0.000172754277246,11.0,12.0,4.0
432,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1040.92885135673,0.9349585844622924,1.0742615470312556e-05,4.0,18.0,0.0
433,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1272.0086994208395,0.5684304621908814,0.0001482880933368,9.0,11.0,4.0
434,True,True,False,False,True,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1306.4646964007989,0.7420548583753407,1.6774453914960065e-05,10.0,14.0,0.0
435,True,True,False,True,True,True,False,native_pfr_failure_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,1081.138293291442,0.9030291669396684,1.2106239424471052e-05,5.0,18.0,0.0
436,True,True,False,False,False,True,False,pfr_missed_target_replaced_by_probe,C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r1\isothermal_enrichment_cracksim.parquet;C:\Users\mbonheur\OneDrive - UGent\Documenten\GitHub\SCARFS\out_v2_iso_r2\isothermal_enrichment_cracksim.parquet,830.1789625966921,0.1912787023978308,3.536518098449636e-05,0.0,3.0,2.0
